"PI_ID","PI_PT_ID","PI_PO_ID","PI_PO_MEUBLE","PI_PSO_ID","PI_DEV","PI_OWNER_ID","PI_TITLE","PI_ALIAS","PI_CONTENT","PI_ADDRESS","PI_ZIPCODE","PI_CITY_ID","PI_DELEG_ID","PI_COUNTRY_ID","PI_DATE_INJECT","PI_ATTR_FLOOR","PI_ATTR_LIVING","PI_ATTR_BED","PI_ATTR_BATH","PI_ATTR_BALC","PI_ATTR_PARKING","PI_ATTR_SURFACE","PI_PRICE_TND","PI_PRICE_DOLLAR","PI_DISPLAY"
"25011","3","2","0","1","0","101","Duplex S4 avec Suite à Ain Zaghouan","25011-duplex-s4-avec-suite-a-ain-zaghouan","CLÉ D'OR IMMOBILIER met en location
Ce Duplex est situé dans un quartier calme. Il est entouré d'un jardin parfaitement entretenu. L'entrée dessert une pièce de vie accueillante lumineuse grâce à une baie vitrée. Cette pièce de réception permet d'agencer deux salons. La cuisine agencée est équipée par une plaque, une hotte et un four électrique, elle s'ouvre à un séchoir. La partie nuit comprend trois chambres avec balcon, une suite parentale avec dressing et salle de bain attenante. Place parking pouvant accueillir deux voiture.

","Duplex S4 RDC avec Suite à Ain Zaghouan","2045","1","27","1","2024-05-30 11:27:15","1","1","3","2","0","2","260.00","2600","0","1"
"25012","3","1","0","1","0","101","Duplex S3 Neuf a chotrana","25012-duplex-s3-neuf-a-chotrana","CLÉ D'OR IMMOBILIER met en Vente
Ce duplex en cours de construction est situé dans un quartier calme et résidentiel, qui se distingue par son environnement. Il se trouve sur un terrain de 300 m².
L'emplacement privilégié de ce duplex offre de nombreux avantages, notamment sa situation géographique dans une zone résidentielle renommée, avec toutes les commodités à proximité et un accès facile depuis l'avenue principale. Notre duplex présente une architecture contemporaine, avec une décoration chaleureuse et luxueuse. À l'extérieur, un jardin gazonné bien entretenu est agrémenté d'une piscine. L'entrée mène à un salon spacieux, bénéficiant d'une luminosité optimale grâce à de grandes baies vitrées offrant une vue sur le jardin. Il est orienté au sud-est. La cuisine est équipée de nombreux rangements, et complétée par un coin repas. Une salle d'eau pour les invités a été pensée. Au premier étage, on trouve trois suites, chacune avec son propre dressing et balcon . Ainsi qu'une salle de bain. Un grand terrasse vue sur mer à ce niveau. Ce duplex est équipé d'un chauffage central et de la climatisation à système split. Et une chambre de service.","Duplex S3 RCD a chotrana","2045","1","27","1","2024-05-30 11:41:52","2","1","3","2","3","1","300.00","985000","0","1"
"25013","1","2","0","2","0","101","Appartement S2 au Jardins De Carthage","25013-appartement-s2-jardins-de-carthage","CLÉ D'OR IMMOBILIER met en location
Cet appartement est situé dans une résidence sécurisée et gardée. Il occupe le 5ème étage. L'entrée donne sur la pièce de vie, elle est revêtue de marbre blanc et donne accès sur un balcon. Ce dernier bénéficie d'une vue dégagée et sans vis à vis. La cuisine est entièrement aménagée par des espaces de rangement et équipée d'une plaque de cuisson, d'une hotte aspirante et d'un four, Elle est également dotée d'un séchoir. Une salle d'eau pour les invités a été pensée. La partie nuit comprend deux chambres à coucher qui se partagent une salle de bain commune. L'appartement est équipé d'un chauffage central et d'une climatisation en Split système. Une place de parking est à disposition.

","Residence Jinene Carthage 5 émme étage Jardins De Carthage","1090","1","18","1","2024-05-30 12:07:16","1","1","2","2","1","2","100.00","1600","0","1"
"25014","5","1","0","1","0","101","Local Commercial Au Cœur De Ain Zaghouan Nord","25014-local-commercial-au-coeur-de-ain-zaghouan-nord","Vous êtes à la recherche d'un local commercial ??
CLÉ D'OR immobilier met à la vente un local commercial de 149m² qui possède un emplacement premium dans un quartier d’affaire connu, dynamique et prestigieux « au cœur de la zone AIN ZAGHOUAN NORD ».","Au Cœur De La Zone AIN ZAGHOUAN NORD","2045","1","28","1","2024-05-30 12:20:30","1","1","0","2","0","1","149.00","1150000","0","1"
"25015","1","1","0","1","0","101","Appartement S2 A La Soukra Parc","25015-appartement-s2-a-la-soukra-parc","CLÉ D'OR IMMOBILIER met a la vente un appartement à la soukra parc . Ce dernier est composé d'un salon, d'une cuisine aménagée et équipée,deux chambres à coucher avec dressings ,une salle de bain et une salle d'eau.équipé du chauffage central et 3 climatiseurs","Appartement S2 2émme étage A La Soukra Parc","2036","1","14","1","2024-05-30 12:45:43","1","1","2","2","3","1","130.00","340000","0","1"
"25016","1","1","0","1","0","101","Appartement S2 au Lac2","25016-appartement-s2-lac2","Clé d'Or immobilier offre un appartement pour vendre
Cet appartement est situé au sein d'une résidence sécurisée. Son entrée s'ouvre sur un salon lumineux avec un accès direct à une terrasse, offrant ainsi un espace de vie spacieux et agréable. La cuisine entièrement équipée comprend une plaque de cuisson, une hotte aspirante, un four électrique et un micro-ondes. La partie nuit se compose d'une chambre à coucher et d'une salle de bain. La suite parentale, avec son propre dressing, constitue un véritable refuge de tranquillité et de confort.

","Résidence philine RCD du lac2","1053","1","11","1","2024-05-30 13:06:53","1","1","2","1","1","1","103.00","530000","0","1"
"25017","1","2","1","2","0","101","Appartement S3 Meublé Au JARDIN DE CARTHAGE","25017-appartement-s3-meuble-au-jardin-de-carthage","CLÉ D'OR IMMOBILIER met en location
Une appartement dans un quartier calme à JARDINS DE CARTHAGE. Ce dernier est composé d'un salon lumineux avec un balcon, une cuisine équipée , une suite parentale, deux chambres à coucher avec dressings, une salle de bain et une salle de douche. L'appartement est équipé par chauffage central et climatiseurs en Split
PP au sous sol","JDC prés de la poste Résidance Dorret Carthage 6 éme étage","1090","1","18","1","2024-05-30 13:51:35","1","1","3","2","2","1","250.00","2500","0","1"
"25018","1","1","0","1","0","101","Appartement S1 Neuf à l'Aouina","25018-appartement-s1-neuf-a-l-aouina","CLE D'OR IMMOBILIER met en vente
Un appartement Haut Standing Neuf en S1 avec une grande terrasse dans une résidence gardée et calme à L'aouina. Ce dernier est composé d'un salon-salle à manger, d'une cuisine aménagée et équipée attenante à un séchoir, d'une chambre à coucher avec une belle terrasse et une salle de douche. L'appartement est équipé du chauffage central et de climatiseurs et dispose d’une place de parking.","l'Aouina","2045","1","14","1","2024-05-30 14:33:09","1","1","1","2","2","1","73.00","225000","0","1"
"25019","1","1","0","1","0","101","Appartement S1 A LA NOUVELLE SOUKRA","25019-appartement-s1-a-la-nouvelle-soukra","CLÉ D'OR IMMOBILIER met a la vente
Appartement S1 de 50 mètres carrés situé dans une zone dynamique, idéalement situé pour profiter de la vie urbaine. L'appartement comprend une chambre à coucher spacieuse, un salon lumineux, une cuisine équipée et une salle de bains moderne. Parfait pour un premier achat ou un investissement locatif. Prix imbattable pour cette taille d'appartement dans ce quartier recherché. Ne manquez pas cette opportunité!","La NOUVELLE SOUKRA ","2036","1","31","1","2024-05-30 15:22:02","1","1","1","1","2","1","50.00","180000","0","1"
"25020","1","1","0","1","0","101","Appartement S2 Neuf Avec Jardin A La Nouvelle Soukra","25020-appartement-s2-neuf-avec-jardin-a-la-nouvelle-soukra","CLE D'OR IMMOBILIER met en vente 
Un appartement Haut Standing Neuf en S2 avec jardin dans une résidence gardée et calme à la nouvelle soukra. Ce dernier est composé d'un salon-salle à manger donnant sur un grand jardin, d'une cuisine aménagée et équipée attenante à un séchoir, Une suite parentale, d'une chambre à coucher et une salle de bain. L'appartement est équipé du chauffage central et de climatiseurs et dispose d’une place de parking au sous sol.","A La Nouvelle Soukra","2036","1","31","1","2024-05-30 17:49:56","1","1","2","2","1","1","127.00","486000","0","1"
"25021","1","2","0","2","0","101","Appartement S3 à Ain Zaghouan Nord","25021-appartement-s3-a-ain-zaghouan-nord","CLE D'OR IMMOBILIER met en location 
Un appartement S3 dans un quartier calme à Ain Zaghouan Nord. Ce dernier est composé d'un salon, une cuisine équipée , trois chambres à coucher avec dressings, une salle de bain et une salle de douche. L'appartement est équipé par chauffage central et climatisation en split.

","Ain Zaghouan Nord","2045","1","28","1","2024-05-30 18:37:06","1","1","3","2","0","0","120.00","1700","0","1"
"25022","3","1","0","2","0","101","Duplex S3 avec jardin à la Soukra","25022-duplex-s3-avec-jardin-a-soukra","CLE D'OR IMMOBILIER met en vente 
Un duplex en S3 avec un jardin de 66m² dans une résidence calme et gardée à la soukra. Ce dernier est composé: d'un salon-salle à manger donnant sur un grand jardin, d'une cuisine aménagée et équipée, d'une suite parentale, de deux chambres à coucher avec dressings, d'une salle de bain et une salle d’eau invités.
le duplex est équipé du chauffage central et des climatiseurs."," Soukra","2036","1","31","1","2024-05-31 12:08:43","2","2","3","3","1","1","250.00","910000","0","0"
